Platform,Product_ID,Product_Category,Product_Subcategory,Product_Price,Discount_%,Stock_Count,Review_ID,Seller_ID,Rating,Review_Text,Review_Length,Sentiment_Score,Verified_Purchase,Delivery_Days,Return_Requested,Damage_Reported,Complaint_Type,IP_Address,Device_Fingerprint,Review_Timestamp,IP_Review_Frequency,Device_Reuse_Count,Burst_Review_Flag,Fraud_Label
WhatsApp Business,P2124,Lighting,Ceiling Light,73308,78,356,R2217,S917,3,Battery drains quickly,3,-0.283,Yes,11,No,No,Late Delivery,10.0.0.3,DEV-8914,03-08-2025 13:43,10,17,Yes,Complaint
WhatsApp Business,P2174,Lighting,Ceiling Light,95972,24,199,R2218,S816,5,Excellent quality and fast delivery,5,-0.207,Yes,20,Yes,No,,192.168.218.48,DEV-2480,24-10-2025 04:42,18,2,No,Genuine
Quikr,P728,Storage,Shoe Rack,67513,8,261,R2219,S1092,1,Battery drains quickly,3,0.598,Yes,4,Yes,No,Color Mismatch,10.0.0.1,DEV-8542,29-10-2025 07:51,39,5,Yes,Complaint
Facebook Marketplace,P657,Home Decor,Mirror,10957,28,168,R2220,S800,4,Worth the price and good packaging,6,-0.726,Yes,7,No,No,,192.168.219.63,DEV-7956,25-12-2025 15:00,30,23,No,Genuine
WhatsApp Business,P1070,Furniture,Bed,36904,27,254,R2221,S1337,4,Very satisfied with the purchase,5,-0.712,No,16,Yes,No,,192.168.130.92,DEV-2658,06-11-2025 14:22,10,1,No,Genuine
Meesho,P759,Furniture,Wardrobe,78146,35,458,R2222,S986,3,"Not as described, poor quality",5,0.299,No,3,No,Yes,Damaged Product,10.0.0.1,DEV-6395,05-08-2025 00:10,9,22,Yes,Complaint
OLX,P927,Electronics,Smartphone,113482,78,186,R2223,S736,5,Worth the price and good packaging,6,-0.011,Yes,13,No,No,,192.168.93.250,DEV-4454,12-09-2025 16:32,38,12,No,Genuine
YouTube Live,P611,Home Decor,Showpiece,94889,17,216,R2224,S1395,1,Battery drains quickly,3,-0.703,Yes,11,Yes,No,Wrong Item,10.0.0.1,DEV-4921,13-12-2025 18:01,4,4,Yes,Complaint
Instagram,P1948,Lighting,Chandelier,49184,10,91,R2225,S533,4,Highly recommend this seller,4,-0.442,No,4,Yes,No,,10.0.0.2,DEV-3971,06-12-2025 05:24,11,2,Yes,Genuine
YouTube Live,P1022,Bedding,Cushion,116493,65,30,R2226,S1474,5,Product matches description perfectly,4,-0.586,Yes,8,No,No,,10.0.0.5,DEV-6787,06-08-2025 17:24,29,17,Yes,Genuine
Telegram,P1965,Bedding,Curtain,16539,33,486,R2227,S229,4,Highly recommend this seller,4,-0.628,No,2,Yes,No,,192.168.107.228,DEV-2107,14-10-2025 17:06,7,20,No,Genuine
Telegram,P306,Kitchen,Utensil Holder,39830,39,365,R2228,S1226,5,Highly recommend this seller,4,0.573,Yes,18,Yes,No,,10.0.0.3,DEV-8170,05-12-2025 01:46,35,4,Yes,Genuine
WhatsApp Business,P915,Electronics,Earbuds,58677,12,343,R2229,S513,5,Product matches description perfectly,4,-0.209,No,12,No,No,,192.168.225.249,DEV-1249,21-02-2026 15:24,21,8,No,Genuine
OLX,P1319,Storage,Drawer Unit,68298,21,437,R2230,S419,3,Best best best must buy,5,0.334,Yes,18,Yes,No,,192.168.118.164,DEV-1949,08-01-2026 16:08,35,9,No,Genuine
YouTube Live,P1972,Bedding,Curtain,44944,70,248,R2231,S726,2,Very disappointed with the product,5,0.984,No,10,Yes,No,Missing Parts,10.0.0.2,DEV-4544,15-02-2026 03:49,29,25,Yes,Complaint
Instagram,P1562,Kitchen,Spice Rack,89568,68,31,R2232,S1321,4,Very satisfied with the purchase,5,0.531,Yes,3,Yes,No,,192.168.35.220,DEV-2528,20-01-2026 07:08,38,11,No,Genuine
OLX,P903,Furniture,Coffee Table,32399,67,105,R2233,S1488,1,"Not as described, poor quality",5,0.37,Yes,16,Yes,No,Battery Issue,192.168.39.238,DEV-1137,11-12-2025 01:04,32,19,No,Complaint
Telegram,P113,Kitchen,Storage Jar,106566,73,297,R2234,S281,1,"Not as described, poor quality",5,0.97,No,17,Yes,No,Late Delivery,10.0.0.4,DEV-3357,23-01-2026 03:45,26,6,Yes,Complaint
Meesho,P1839,Storage,Shoe Rack,16943,43,220,R2235,S1145,3,Item arrived damaged,3,-0.705,No,2,No,No,Missing Parts,192.168.68.12,DEV-6493,09-12-2025 14:42,25,15,No,Complaint
WhatsApp Business,P530,Furniture,Wardrobe,21128,9,318,R2236,S708,4,Highly recommend this seller,4,0.625,Yes,8,No,No,,192.168.164.5,DEV-9800,22-01-2026 08:23,37,20,No,Genuine
Quikr,P2211,Electronics,Smartwatch,36695,46,222,R2237,S669,4,Highly recommend this seller,4,0.56,No,9,No,No,,192.168.17.161,DEV-5264,07-02-2026 01:44,24,3,No,Genuine
OLX,P2829,Storage,Shoe Rack,55327,66,408,R2238,S575,1,Very disappointed with the product,5,-0.766,No,16,Yes,No,Wrong Item,192.168.124.18,DEV-1393,01-02-2026 05:43,15,9,No,Complaint
WhatsApp Business,P1242,Electronics,Smartphone,46059,73,26,R2239,S794,4,Excellent quality and fast delivery,5,0.142,No,9,No,No,,192.168.131.2,DEV-1803,22-02-2026 08:34,3,10,No,Genuine
Instagram,P93,Lighting,Ceiling Light,33706,50,128,R2240,S1277,4,Worth the price and good packaging,6,0.057,Yes,10,No,No,,192.168.184.208,DEV-1310,16-11-2025 14:21,36,19,No,Genuine
Facebook Marketplace,P1156,Kitchen,Spice Rack,17935,45,227,R2241,S865,1,Item arrived damaged,3,0.061,No,20,Yes,Yes,Damaged Product,192.168.40.45,DEV-9309,17-01-2026 11:23,11,22,No,Complaint
WhatsApp Business,P1574,Lighting,Chandelier,89594,52,30,R2242,S1141,1,Battery drains quickly,3,-0.34,Yes,10,Yes,No,Poor Quality,10.0.0.3,DEV-1352,20-09-2025 09:15,5,25,Yes,Complaint
YouTube Live,P1052,Furniture,Wardrobe,89922,40,246,R2243,S992,4,Very satisfied with the purchase,5,0.637,Yes,2,Yes,No,,192.168.80.126,DEV-2992,13-09-2025 07:58,26,16,No,Genuine
Instagram,P665,Lighting,LED Strip,49550,17,211,R2244,S1045,3,"Not as described, poor quality",5,-0.241,No,10,No,No,Fake Product,192.168.92.128,DEV-6051,27-01-2026 17:00,35,8,No,Complaint
Facebook Marketplace,P2083,Electronics,Smartphone,113914,16,438,R2245,S496,4,Very satisfied with the purchase,5,-0.456,No,16,Yes,No,,192.168.234.166,DEV-2512,22-11-2025 09:17,20,17,No,Genuine
Meesho,P82,Furniture,Coffee Table,86879,44,196,R2246,S696,5,Product matches description perfectly,4,0.794,Yes,19,Yes,No,,192.168.148.253,DEV-1299,06-09-2025 18:28,16,16,No,Genuine
Quikr,P2729,Storage,Drawer Unit,105884,66,214,R2247,S522,5,Worth the price and good packaging,6,0.85,No,17,Yes,No,,192.168.140.75,DEV-6744,17-01-2026 16:33,37,4,No,Genuine
YouTube Live,P503,Kitchen,Storage Jar,111276,73,292,R2248,S915,3,Received wrong item,3,0.613,No,14,No,No,Missing Parts,192.168.41.61,DEV-4108,17-10-2025 11:28,11,13,No,Complaint
Meesho,P517,Lighting,Chandelier,15140,62,222,R2249,S1187,4,Excellent quality and fast delivery,5,0.062,No,14,No,No,,192.168.59.13,DEV-7140,21-09-2025 12:32,14,24,No,Genuine
Quikr,P1987,Furniture,Dining Table,112461,40,401,R2250,S913,4,Worth the price and good packaging,6,0.833,Yes,9,Yes,No,,192.168.230.239,DEV-1907,09-01-2026 05:21,24,24,No,Genuine
Instagram,P2856,Furniture,Dining Table,48603,41,131,R2251,S1266,3,Battery drains quickly,3,0.384,No,15,No,No,Late Delivery,10.0.0.4,DEV-4546,01-09-2025 15:57,17,9,Yes,Complaint
Meesho,P1463,Lighting,LED Strip,93298,65,199,R2252,S1379,4,Very satisfied with the purchase,5,-0.516,No,9,Yes,No,,10.0.0.3,DEV-1432,05-08-2025 11:22,22,7,Yes,Genuine
Instagram,P2810,Kitchen,Storage Jar,61959,65,66,R2253,S1082,2,Received wrong item,3,0.144,No,2,Yes,No,Missing Parts,192.168.139.80,DEV-7985,03-10-2025 12:47,2,8,No,Complaint
Quikr,P1736,Electronics,Speaker,71119,8,403,R2254,S1303,2,Received wrong item,3,0.363,No,9,Yes,No,Missing Parts,192.168.146.100,DEV-6904,10-02-2026 11:25,4,16,No,Complaint
Quikr,P421,Kitchen,Spice Rack,29651,66,253,R2255,S957,5,Product matches description perfectly,4,-0.721,No,4,No,No,,192.168.33.57,DEV-7383,19-12-2025 00:07,28,19,No,Genuine
OLX,P89,Electronics,Power Bank,105526,27,175,R2256,S1244,2,Very disappointed with the product,5,-0.802,Yes,12,Yes,No,Poor Quality,192.168.243.31,DEV-8870,25-08-2025 17:48,10,7,No,Complaint
Instagram,P1959,Storage,Organizer Box,3070,72,32,R2257,S403,2,Battery drains quickly,3,-0.963,Yes,16,Yes,No,Fake Product,192.168.91.221,DEV-3876,17-11-2025 19:35,40,10,No,Complaint
WhatsApp Business,P2262,Furniture,Sofa,91618,53,344,R2258,S1183,3,Very disappointed with the product,5,0.29,Yes,19,No,Yes,Damaged Product,192.168.134.20,DEV-5051,02-02-2026 11:17,7,18,No,Complaint
Facebook Marketplace,P2267,Kitchen,Utensil Holder,119009,17,134,R2259,S891,3,Very disappointed with the product,5,0.955,Yes,1,Yes,No,Poor Quality,192.168.30.188,DEV-7304,22-09-2025 22:10,28,21,No,Complaint
Meesho,P632,Home Decor,Showpiece,38321,29,285,R2260,S1384,2,"Not as described, poor quality",5,0.761,No,6,Yes,No,Missing Parts,192.168.153.197,DEV-4970,07-09-2025 16:43,31,8,No,Complaint
Meesho,P2572,Bedding,Cushion,7339,36,4,R2261,S1498,2,Received wrong item,3,0.581,Yes,15,Yes,No,Missing Parts,192.168.38.205,DEV-3594,20-10-2025 00:54,3,11,No,Complaint
OLX,P811,Home Decor,Vase,58432,23,142,R2262,S1341,3,Amazing amazing amazing product,4,0.382,Yes,13,No,No,,192.168.249.123,DEV-9359,19-08-2025 14:21,37,9,No,Genuine
WhatsApp Business,P703,Electronics,Speaker,57473,61,84,R2263,S1038,4,Worth the price and good packaging,6,-0.486,No,20,Yes,No,,10.0.0.1,DEV-8259,12-10-2025 03:44,11,20,Yes,Genuine
Quikr,P2542,Electronics,Power Bank,41390,28,427,R2264,S577,1,Received wrong item,3,-0.559,Yes,5,Yes,No,Poor Quality,10.0.0.1,DEV-5323,30-01-2026 01:50,1,15,Yes,Complaint
WhatsApp Business,P2322,Furniture,Bed,78306,40,127,R2265,S1410,2,Very disappointed with the product,5,0.977,Yes,14,Yes,No,Missing Parts,192.168.51.149,DEV-7482,08-12-2025 10:57,23,11,No,Complaint
Instagram,P324,Bedding,Curtain,48800,31,462,R2266,S130,1,Very disappointed with the product,5,0.439,No,12,Yes,No,Late Delivery,192.168.115.46,DEV-4586,06-09-2025 13:35,4,23,No,Complaint
Instagram,P2966,Storage,Drawer Unit,8898,64,140,R2267,S1162,2,Received wrong item,3,-0.281,Yes,16,Yes,Yes,Damaged Product,192.168.3.94,DEV-2698,18-09-2025 03:51,14,15,No,Complaint
Telegram,P967,Electronics,Speaker,63355,10,42,R2268,S12,1,Battery drains quickly,3,-0.656,Yes,3,Yes,No,Fake Product,192.168.80.81,DEV-5277,21-02-2026 15:06,1,14,No,Complaint
WhatsApp Business,P855,Bedding,Blanket,44161,39,433,R2269,S1419,5,Worth the price and good packaging,6,0.853,Yes,6,No,No,,192.168.138.127,DEV-6593,13-08-2025 18:40,3,9,No,Genuine
YouTube Live,P342,Furniture,Coffee Table,93521,8,402,R2270,S67,3,Very disappointed with the product,5,-0.834,No,8,Yes,No,Poor Quality,192.168.167.208,DEV-1952,03-01-2026 06:37,31,13,No,Complaint
Telegram,P2879,Electronics,Smartwatch,104723,68,248,R2271,S1244,4,Worth the price and good packaging,6,-0.901,No,9,No,No,,192.168.162.241,DEV-6733,24-02-2026 07:04,18,6,No,Genuine
Facebook Marketplace,P1269,Kitchen,Spice Rack,99537,12,198,R2272,S1210,3,Super product awesome awesome,4,0.514,No,11,No,No,,192.168.81.255,DEV-9175,18-01-2026 11:17,8,10,No,Genuine
WhatsApp Business,P1568,Furniture,Dining Table,73220,7,484,R2273,S155,5,Worth the price and good packaging,6,0.342,No,12,No,No,,10.0.0.2,DEV-7578,01-09-2025 04:39,36,13,Yes,Fake
OLX,P192,Lighting,LED Strip,96522,42,46,R2274,S613,3,Battery drains quickly,3,0.946,No,5,No,No,Wrong Item,192.168.9.31,DEV-6677,11-02-2026 09:45,5,11,No,Complaint
WhatsApp Business,P932,Kitchen,Utensil Holder,67382,58,394,R2275,S363,4,Highly recommend this seller,4,-0.496,No,2,No,No,,10.0.0.1,DEV-7733,06-08-2025 03:34,33,4,Yes,Genuine
Meesho,P614,Electronics,Smartphone,58664,53,337,R2276,S1104,1,Very disappointed with the product,5,-0.912,Yes,9,Yes,No,Missing Parts,10.0.0.3,DEV-8739,02-01-2026 03:53,15,20,Yes,Complaint
YouTube Live,P1604,Kitchen,Utensil Holder,14032,11,160,R2277,S516,1,Very disappointed with the product,5,-0.355,Yes,16,Yes,No,Missing Parts,192.168.41.234,DEV-6699,17-01-2026 22:04,35,1,No,Complaint
Instagram,P1839,Kitchen,Utensil Holder,33123,27,259,R2278,S582,3,Received wrong item,3,-0.126,No,16,No,No,Poor Quality,192.168.221.219,DEV-8997,10-01-2026 12:18,6,20,No,Complaint
Facebook Marketplace,P725,Bedding,Curtain,39542,80,442,R2279,S241,3,Very disappointed with the product,5,0.901,Yes,4,No,No,Battery Issue,10.0.0.2,DEV-6956,03-09-2025 14:34,35,8,Yes,Complaint
Telegram,P1732,Electronics,Power Bank,119784,40,401,R2280,S1410,1,Best best best must buy,5,-0.659,Yes,12,Yes,No,,192.168.137.146,DEV-8623,07-10-2025 21:40,38,24,No,Genuine
Instagram,P372,Home Decor,Mirror,45158,56,408,R2281,S265,1,Amazing amazing amazing product,4,-0.17,Yes,18,Yes,No,,192.168.76.183,DEV-9042,13-02-2026 06:41,5,13,No,Genuine
Facebook Marketplace,P2940,Furniture,Wardrobe,94445,35,234,R2282,S128,2,"Not as described, poor quality",5,0.238,Yes,11,Yes,No,Poor Quality,10.0.0.4,DEV-7206,30-01-2026 07:07,28,23,Yes,Complaint
Quikr,P622,Bedding,Blanket,115113,49,277,R2283,S813,2,Very disappointed with the product,5,-0.734,No,8,Yes,No,Color Mismatch,192.168.192.249,DEV-4080,05-01-2026 18:07,4,20,No,Complaint
Facebook Marketplace,P729,Lighting,LED Strip,47431,10,412,R2284,S1126,1,Battery drains quickly,3,-0.464,No,18,Yes,No,Color Mismatch,192.168.237.104,DEV-9159,23-01-2026 00:15,35,7,No,Complaint
Meesho,P481,Electronics,Smartphone,6970,5,223,R2285,S798,3,100% trusted seller highly recommend,5,0.031,Yes,19,Yes,No,,192.168.2.141,DEV-8054,04-02-2026 17:24,15,23,No,Genuine
OLX,P2663,Storage,Shoe Rack,471,73,311,R2286,S1427,4,Excellent quality and fast delivery,5,-0.232,Yes,16,No,No,,192.168.2.145,DEV-5630,10-09-2025 02:05,40,2,No,Genuine
OLX,P2272,Electronics,Earbuds,7860,38,240,R2287,S31,2,Battery drains quickly,3,0.154,Yes,15,Yes,No,Missing Parts,192.168.188.58,DEV-4081,25-02-2026 16:41,4,11,No,Complaint
Instagram,P485,Bedding,Cushion,64648,47,152,R2288,S988,2,Best best best must buy,5,0.084,Yes,16,Yes,No,,192.168.195.81,DEV-9364,29-12-2025 08:35,33,11,No,Genuine
Instagram,P1821,Home Decor,Clock,41552,33,94,R2289,S27,3,Battery drains quickly,3,-0.279,No,12,Yes,No,Wrong Item,10.0.0.3,DEV-3572,27-11-2025 05:10,30,3,Yes,Complaint
WhatsApp Business,P1793,Bedding,Blanket,88444,49,6,R2290,S1474,3,Item arrived damaged,3,0.967,Yes,17,No,Yes,Damaged Product,10.0.0.1,DEV-6879,24-01-2026 13:56,19,4,Yes,Complaint
Facebook Marketplace,P91,Storage,Organizer Box,64867,38,323,R2291,S86,3,Very disappointed with the product,5,-0.338,Yes,7,Yes,No,Poor Quality,192.168.74.195,DEV-5345,17-09-2025 03:39,15,17,No,Complaint
YouTube Live,P2506,Home Decor,Wall Art,74663,24,345,R2292,S758,2,Battery drains quickly,3,-0.903,Yes,12,Yes,No,Battery Issue,192.168.210.23,DEV-8191,28-01-2026 19:35,10,10,No,Complaint
WhatsApp Business,P834,Kitchen,Storage Jar,80220,43,315,R2293,S178,2,Battery drains quickly,3,0.977,Yes,19,Yes,No,Poor Quality,10.0.0.4,DEV-7379,14-11-2025 17:42,13,14,Yes,Complaint
Meesho,P851,Kitchen,Spice Rack,89165,29,43,R2294,S1348,3,Battery drains quickly,3,0.95,No,12,No,No,Poor Quality,192.168.60.188,DEV-1519,13-08-2025 13:44,38,11,No,Complaint
WhatsApp Business,P1203,Kitchen,Utensil Holder,30801,18,273,R2295,S917,5,Highly recommend this seller,4,0.158,No,8,Yes,No,,192.168.23.65,DEV-4251,24-02-2026 10:31,18,5,No,Genuine
Telegram,P986,Electronics,Earbuds,90936,71,268,R2296,S1294,2,Battery drains quickly,3,-0.227,Yes,11,Yes,Yes,Damaged Product,10.0.0.2,DEV-9120,21-02-2026 09:49,17,1,Yes,Complaint
Instagram,P1272,Home Decor,Showpiece,57384,53,219,R2297,S1055,3,Very disappointed with the product,5,0.624,Yes,13,Yes,No,Missing Parts,192.168.237.161,DEV-8809,26-08-2025 23:23,39,14,No,Complaint
Quikr,P830,Kitchen,Utensil Holder,4093,50,105,R2298,S995,2,Best best best must buy,5,0.686,Yes,7,Yes,No,,10.0.0.1,DEV-8543,16-02-2026 12:50,6,20,Yes,Genuine
Facebook Marketplace,P1207,Kitchen,Spice Rack,6902,64,185,R2299,S204,5,Worth the price and good packaging,6,-0.723,Yes,19,No,No,,192.168.206.235,DEV-9640,25-12-2025 23:42,33,21,No,Genuine
WhatsApp Business,P1736,Bedding,Blanket,1777,6,193,R2300,S818,5,Highly recommend this seller,4,-0.873,Yes,16,Yes,No,,192.168.83.189,DEV-3815,13-08-2025 02:49,18,13,No,Genuine
OLX,P2063,Furniture,Wardrobe,71856,14,346,R2301,S921,5,Very satisfied with the purchase,5,-0.686,No,4,No,No,,192.168.226.4,DEV-4554,13-01-2026 09:28,3,18,No,Genuine
Instagram,P2176,Home Decor,Clock,73538,5,316,R2302,S1119,3,"Not as described, poor quality",5,0.817,No,18,Yes,No,Fake Product,192.168.139.126,DEV-4152,26-11-2025 10:57,27,11,No,Complaint
Quikr,P2835,Kitchen,Utensil Holder,83452,22,198,R2303,S123,2,Item arrived damaged,3,-0.86,Yes,14,Yes,Yes,Damaged Product,192.168.212.152,DEV-1919,02-11-2025 17:14,39,19,No,Complaint
YouTube Live,P2603,Storage,Shoe Rack,29472,8,271,R2304,S1022,5,Excellent quality and fast delivery,5,0.684,Yes,15,Yes,No,,192.168.171.123,DEV-8189,19-01-2026 08:44,9,14,No,Genuine
YouTube Live,P95,Lighting,Lamp,44030,45,249,R2305,S1107,1,Received wrong item,3,-0.599,Yes,10,Yes,No,Battery Issue,192.168.61.244,DEV-6541,09-10-2025 03:13,9,9,No,Complaint
YouTube Live,P2434,Bedding,Cushion,95013,37,126,R2306,S403,1,Battery drains quickly,3,-0.682,Yes,2,Yes,No,Missing Parts,192.168.244.209,DEV-8122,09-01-2026 04:32,3,17,No,Complaint
Meesho,P58,Kitchen,Utensil Holder,36245,56,129,R2307,S28,1,Received wrong item,3,-0.102,No,13,Yes,No,Poor Quality,10.0.0.5,DEV-8959,25-08-2025 05:48,21,14,Yes,Complaint
OLX,P2586,Home Decor,Clock,118652,48,339,R2308,S616,2,"Not as described, poor quality",5,0.124,No,13,Yes,No,Fake Product,192.168.91.28,DEV-8589,30-12-2025 07:15,9,23,No,Complaint
Quikr,P1935,Bedding,Cushion,6024,60,341,R2309,S49,1,"Not as described, poor quality",5,-0.792,Yes,15,Yes,No,Poor Quality,192.168.119.208,DEV-9807,19-08-2025 22:05,14,8,No,Complaint
Facebook Marketplace,P832,Electronics,Speaker,87647,72,199,R2310,S283,2,"Not as described, poor quality",5,-0.154,No,6,Yes,No,Poor Quality,192.168.220.44,DEV-1989,06-12-2025 18:26,24,13,No,Complaint
OLX,P2037,Lighting,Lamp,73642,44,102,R2311,S1005,1,Battery drains quickly,3,-0.678,Yes,16,Yes,No,Fake Product,10.0.0.3,DEV-1066,05-10-2025 02:18,3,2,Yes,Complaint
WhatsApp Business,P609,Electronics,Power Bank,54379,41,437,R2312,S800,1,Very disappointed with the product,5,-0.431,Yes,19,Yes,No,Color Mismatch,192.168.42.3,DEV-1769,19-01-2026 13:25,28,13,No,Complaint
OLX,P2728,Bedding,Cushion,40788,48,482,R2313,S637,2,Very disappointed with the product,5,-0.808,No,13,Yes,No,Late Delivery,10.0.0.4,DEV-5884,01-01-2026 09:28,1,21,Yes,Complaint
OLX,P741,Electronics,Earbuds,44848,75,292,R2314,S1038,4,Very satisfied with the purchase,5,-0.887,Yes,6,Yes,No,,192.168.203.191,DEV-7551,03-08-2025 22:10,7,2,No,Genuine
YouTube Live,P243,Storage,Drawer Unit,89265,56,384,R2315,S135,1,Very disappointed with the product,5,-0.573,No,1,Yes,No,Missing Parts,192.168.183.17,DEV-1367,02-10-2025 01:17,18,6,No,Complaint
Facebook Marketplace,P1878,Kitchen,Spice Rack,32438,44,426,R2316,S1179,3,"Not as described, poor quality",5,-0.72,No,12,Yes,No,Color Mismatch,192.168.98.145,DEV-9177,01-09-2025 18:17,17,3,No,Complaint
WhatsApp Business,P1685,Furniture,Bed,66929,52,358,R2317,S1174,3,Battery drains quickly,3,0.075,No,11,No,No,Battery Issue,192.168.252.162,DEV-4068,05-02-2026 16:30,17,24,No,Complaint
WhatsApp Business,P2758,Lighting,LED Strip,21750,72,377,R2318,S338,2,Very disappointed with the product,5,-0.201,No,8,Yes,No,Late Delivery,10.0.0.2,DEV-3193,31-08-2025 01:32,30,23,Yes,Complaint
Meesho,P1208,Storage,Shoe Rack,30087,34,397,R2319,S1470,2,"Not as described, poor quality",5,0.358,No,16,Yes,No,Fake Product,192.168.144.27,DEV-5832,08-09-2025 06:40,30,5,No,Complaint
Meesho,P2607,Storage,Shoe Rack,94589,40,467,R2320,S1271,4,Very satisfied with the purchase,5,0.574,Yes,10,Yes,No,,192.168.5.209,DEV-8383,31-01-2026 04:11,2,2,No,Genuine
YouTube Live,P2290,Lighting,LED Strip,23072,70,84,R2321,S1186,5,Very satisfied with the purchase,5,-0.868,No,5,Yes,No,,10.0.0.2,DEV-7941,20-10-2025 20:36,33,12,Yes,Fake
YouTube Live,P207,Electronics,Earbuds,37548,71,303,R2322,S147,1,"Not as described, poor quality",5,-0.061,Yes,12,Yes,No,Poor Quality,192.168.133.117,DEV-5333,22-10-2025 14:08,25,12,No,Complaint
WhatsApp Business,P2666,Home Decor,Mirror,37894,31,470,R2323,S544,3,Received wrong item,3,0.384,Yes,14,Yes,No,Late Delivery,10.0.0.2,DEV-6386,12-11-2025 19:26,16,11,Yes,Complaint
YouTube Live,P2212,Storage,Drawer Unit,35621,46,317,R2324,S43,4,Very satisfied with the purchase,5,0.994,Yes,5,Yes,No,,10.0.0.1,DEV-2169,22-12-2025 20:22,26,10,Yes,Genuine
Facebook Marketplace,P388,Storage,Drawer Unit,10619,45,131,R2325,S538,4,Highly recommend this seller,4,0.01,Yes,15,No,No,,10.0.0.1,DEV-7060,17-02-2026 00:02,29,1,Yes,Genuine
OLX,P2644,Storage,Organizer Box,83984,56,477,R2326,S267,4,Very satisfied with the purchase,5,-0.629,No,6,No,No,,192.168.103.66,DEV-8002,28-10-2025 10:14,29,5,No,Genuine
Instagram,P2032,Bedding,Bedsheet,33767,67,20,R2327,S986,5,Highly recommend this seller,4,0.997,Yes,15,No,No,,192.168.168.83,DEV-4126,22-09-2025 00:52,13,13,No,Genuine
WhatsApp Business,P2127,Lighting,LED Strip,36621,39,55,R2328,S1391,5,Highly recommend this seller,4,0.347,No,15,Yes,No,,192.168.204.75,DEV-1292,21-01-2026 15:51,27,12,No,Genuine
WhatsApp Business,P1294,Bedding,Cushion,22050,66,475,R2329,S582,4,Highly recommend this seller,4,0.662,No,4,No,No,,192.168.114.98,DEV-4355,01-02-2026 13:23,29,19,No,Genuine
Telegram,P292,Electronics,Earbuds,84336,43,418,R2330,S1014,3,Very disappointed with the product,5,0.233,No,4,No,No,Color Mismatch,192.168.25.72,DEV-2844,19-02-2026 20:46,2,2,No,Complaint
Facebook Marketplace,P2043,Bedding,Blanket,40629,77,182,R2331,S1069,4,Excellent quality and fast delivery,5,0.537,No,4,Yes,No,,192.168.116.27,DEV-7910,18-12-2025 22:04,7,20,No,Genuine
Instagram,P1356,Home Decor,Vase,109703,54,306,R2332,S427,2,Super product awesome awesome,4,0.267,Yes,16,Yes,No,,192.168.197.95,DEV-3932,06-10-2025 09:28,33,22,No,Genuine
YouTube Live,P1300,Home Decor,Wall Art,10354,49,83,R2333,S1369,3,Battery drains quickly,3,-0.016,Yes,15,No,No,Battery Issue,192.168.98.49,DEV-6086,10-11-2025 03:24,17,21,No,Complaint
Meesho,P472,Bedding,Blanket,86776,39,161,R2334,S1390,5,Worth the price and good packaging,6,-0.648,No,7,No,No,,10.0.0.5,DEV-3311,31-08-2025 17:40,29,22,Yes,Fake
WhatsApp Business,P1454,Kitchen,Storage Jar,87562,57,270,R2335,S679,1,Very disappointed with the product,5,-0.359,Yes,18,Yes,No,Missing Parts,10.0.0.1,DEV-2942,16-02-2026 04:18,13,3,Yes,Complaint
Quikr,P1856,Home Decor,Wall Art,62803,50,296,R2336,S216,3,"Not as described, poor quality",5,-0.171,Yes,20,No,No,Fake Product,192.168.235.192,DEV-1156,24-01-2026 16:56,22,2,No,Complaint
Meesho,P961,Lighting,Lamp,101055,15,0,R2337,S380,4,Product matches description perfectly,4,-0.316,No,10,No,No,,192.168.202.185,DEV-8503,19-12-2025 04:11,9,19,No,Genuine
YouTube Live,P1965,Lighting,Lamp,100506,12,172,R2338,S6,4,Highly recommend this seller,4,-0.351,Yes,5,Yes,No,,10.0.0.5,DEV-5865,25-09-2025 02:34,12,4,Yes,Genuine
Meesho,P2880,Kitchen,Utensil Holder,3370,58,428,R2339,S201,4,Product matches description perfectly,4,-0.559,No,8,Yes,No,,192.168.151.84,DEV-9899,27-02-2026 06:22,32,23,No,Genuine
WhatsApp Business,P2601,Electronics,Power Bank,19820,79,103,R2340,S128,5,Worth the price and good packaging,6,-0.777,Yes,16,Yes,No,,192.168.25.221,DEV-7522,13-01-2026 23:03,26,20,No,Genuine
Instagram,P903,Kitchen,Spice Rack,7860,47,295,R2341,S121,3,Very disappointed with the product,5,-0.08,No,15,No,Yes,Damaged Product,192.168.53.145,DEV-7756,18-09-2025 22:33,3,19,No,Complaint
Quikr,P2758,Furniture,Coffee Table,60748,39,315,R2342,S861,1,Item arrived damaged,3,0.21,Yes,1,Yes,No,Wrong Item,192.168.250.159,DEV-8685,15-09-2025 14:33,37,18,No,Complaint
Facebook Marketplace,P1049,Electronics,Earbuds,59973,49,318,R2343,S826,5,Worth the price and good packaging,6,0.076,No,6,No,No,,192.168.95.119,DEV-1200,14-02-2026 06:33,37,23,No,Genuine
YouTube Live,P266,Lighting,LED Strip,64279,47,302,R2344,S727,1,Item arrived damaged,3,0.704,Yes,13,Yes,Yes,Damaged Product,192.168.77.44,DEV-2075,31-10-2025 00:59,25,15,No,Complaint
WhatsApp Business,P1135,Furniture,Coffee Table,21190,73,93,R2345,S602,4,Product matches description perfectly,4,0.876,Yes,8,No,No,,10.0.0.3,DEV-1916,04-08-2025 12:36,18,22,Yes,Genuine
